"ID",x,y,z,region,atlas_region
114,-0.11160528659820557,42.57065546512604,-15.682235181331635,mLOFC2,Right MFC medial frontal cortex
110,-1.3113820552825928,42.57065546512604,-15.682235181331635,mLOFC5,Left GRe gyrus rectus
113,-2.51115882396698,42.57065546512604,-15.682235181331635,mLOFC6,Left GRe gyrus rectus
113,-2.51115882396698,42.57065546512604,-15.682235181331635,mLOFC6,Left GRe gyrus rectus
113,-2.51115882396698,42.57065546512604,-15.682235181331635,mLOFC6,Left GRe gyrus rectus
112,-2.51115882396698,40.172308921813965,-15.682235181331635,mLOFC7,Left GRe gyrus rectus
109,-2.51115882396698,41.37148219347,-15.682235181331635,mLOFC8,Left GRe gyrus rectus
109,-2.51115882396698,41.37148219347,-15.682235181331635,mLOFC8,Left GRe gyrus rectus
121,-0.11160528659820557,32.97726929187775,18.27804732322693,mLACC1,Left ACgG anterior cingulate gyrus
121,-0.11160528659820557,32.97726929187775,18.27804732322693,mLACC1,Left ACgG anterior cingulate gyrus
118,-1.3113820552825928,32.97726929187775,18.27804732322693,mLACC2,Left ACgG anterior cingulate gyrus
118,-1.3113820552825928,32.97726929187775,18.27804732322693,mLACC2,Left ACgG anterior cingulate gyrus
120,-2.51115882396698,32.97726929187775,18.27804732322693,mLACC3,Left ACgG anterior cingulate gyrus
117,-0.11160528659820557,34.17644256353378,18.27804732322693,mLACC4,Left ACgG anterior cingulate gyrus
116,-2.51115882396698,34.17644256353378,18.27804732322693,mLACC5,Left ACgG anterior cingulate gyrus
116,-2.51115882396698,34.17644256353378,18.27804732322693,mLACC5,Left ACgG anterior cingulate gyrus
119,-1.3113820552825928,35.37561583518982,18.27804732322693,mLACC7,Left ACgG anterior cingulate gyrus
119,-1.3113820552825928,35.37561583518982,18.27804732322693,mLACC7,Left ACgG anterior cingulate gyrus
122,-2.51115882396698,35.37561583518982,18.27804732322693,mLACC8,Left ACgG anterior cingulate gyrus
122,-2.51115882396698,35.37561583518982,18.27804732322693,mLACC8,Left ACgG anterior cingulate gyrus
124,17.885046243667603,1.3990398049354553,-12.8855060338974,mRHIP1,Right Hippocampus
124,17.885046243667603,1.3990398049354553,-12.8855060338974,mRHIP1,Right Hippocampus
126,19.08482301235199,0.19986653327941895,-12.8855060338974,mRHIP4,Right Hippocampus