chanID,unitID
193,21
193,166
193,232
193,268
193,331
193,347
194,174
194,180
194,220
194,224
194,366
194,371
194,372
194,451
195,539
195,544
195,580
195,616
195,626
195,706
196,563
196,571
196,645
196,660
196,727
196,729
196,735
196,855
197,277
197,706
197,741
197,776
197,846
197,856
197,970
198,530
198,558
198,898
198,973
198,994
198,1157
198,1158
198,1182
199,167
199,783
199,942
200,103
200,318
200,335
200,340
200,656
201,1262
201,1347
201,1848
201,1860
201,2205
202,220
202,1184
202,1365
202,1401
202,1472
202,1527
203,206
203,1508
203,1972
203,1989
203,1996
204,1382
204,1419
204,1717
204,1739
205,2067
205,2267
206,380
206,1811
207,2103
207,2106
207,2141
207,2234
207,2264
208,444
208,1415
208,1532
209,182
209,1371
209,3290
209,3295
210,286
210,974
210,3265
210,4249
210,4455
210,4632
210,4634
211,4308
211,4925
211,4976
212,3321
212,3332
212,3618
212,3980
212,4556
212,4559
213,2893
213,3018
213,3183
213,3385
213,3393
214,860
214,2252
214,3560
214,3640
214,3725
214,3767
214,3915
215,825
215,4220
215,4579
215,4621
216,1814
216,2995
216,4030
216,5338
216,5339
216,5354
217,948
217,1026
217,1036
217,1148
218,3804
218,3808
218,3810
218,3845
218,3887
218,3888
219,853
219,1329
219,1401
219,1626
219,1688
219,1709
219,1952
220,1733
220,2294
220,2305
220,2374
222,878
223,2018
223,2059
223,2074
223,2265
223,2375
223,2422
223,2481
223,2489
223,2490
223,2492
224,1009
224,3097
224,3104
224,3117
