shape_order,sess_type,final_pos_orig,final_pos
curv_flat,A,-0.046,-0.046
curv_flat,A,0.103,0.103
flat_curv,A,0.188,-0.188
flat_curv,A,0.028,-0.028
flat_curv,A,0.199,-0.199
flat_curv,A,-0.156,0.156
flat_curv,A,-0.02,0.02
flat_curv,A,0.05,-0.05
flat_curv,A,-0.372,0.372
curv_flat,A,-0.356,-0.356
flat_curv,A,0.353,-0.353
flat_curv,A,-0.052,0.052
flat_curv,A,0.066,-0.066
flat_curv,A,-0.034,0.034
flat_curv,A,-0.304,0.304
curv_flat,A,0.011,0.011
curv_flat,A,-0.068,-0.068
curv_flat,A,-0.393,-0.393
flat_curv,A,0.071,-0.071
curv_flat,A,0.331,0.331
curv_flat,A,0.382,0.382
curv_flat,A,-0.006,-0.006
curv_flat,A,-0.118,-0.118
curv_flat,A,0.037,0.037
curv_flat,A,0.094,0.094
flat_curv,A,-0.005,0.005
curv_flat,A,0.046,0.046
curv_flat,A,-0.349,-0.349
flat_curv,A,0.377,-0.377
curv_flat,A,-0.162,-0.162
flat_curv,A,0.059,-0.059
flat_curv,A,-0.211,0.211
flat_curv,A,-0.089,0.089
flat_curv,A,0.079,-0.079
curv_flat,A,0.097,0.097
curv_flat,A,-0.115,-0.115
curv_flat,A,0.034,0.034
curv_flat,A,-0.301,-0.301
flat_curv,A,-0.214,0.214
curv_flat,A,0.296,0.296
flat_curv,A,-0.059,0.059
curv_flat,A,-0.267,-0.267
curv_flat,A,-0.097,-0.097
flat_curv,A,-0.2,0.2
flat_curv,A,-0.088,0.088
flat_curv,A,0.312,-0.312
curv_flat,A,-0.267,-0.267
curv_flat,A,-0.248,-0.248
curv_flat,A,-0.104,-0.104
flat_curv,A,0.132,-0.132
flat_curv,A,0.143,-0.143
curv_flat,A,-0.285,-0.285
flat_curv,A,0.053,-0.053
curv_flat,A,-0.237,-0.237
flat_curv,A,0.122,-0.122
flat_curv,A,0.28,-0.28
flat_curv,A,0.017,-0.017
curv_flat,A,-0.124,-0.124
flat_curv,A,0.258,-0.258
curv_flat,A,-0.126,-0.126
curv_flat,A,-0.235,-0.235
curv_flat,A,-0.185,-0.185
curv_flat,A,-0.266,-0.266
flat_curv,A,0.17,-0.17
flat_curv,A,-0.044,0.044
flat_curv,A,0.052,-0.052
flat_curv,A,0.14,-0.14
flat_curv,A,0.238,-0.238
flat_curv,A,0.238,-0.238
curv_flat,A,-0.255,-0.255
curv_flat,A,-0.4,-0.4
curv_flat,A,0.103,0.103
curv_flat,A,-0.162,-0.162
flat_curv,A,-0.036,0.036
curv_flat,A,0.249,0.249
curv_flat,A,-0.262,-0.262
flat_curv,A,0.127,-0.127
flat_curv,A,0.265,-0.265
curv_flat,A,-0.226,-0.226
curv_flat,A,0.143,0.143
flat_curv,A,-0.123,0.123
curv_flat,A,0.184,0.184
flat_curv,A,-0.125,0.125
flat_curv,A,-0.371,0.371
flat_curv,A,0.097,-0.097
flat_curv,A,-0.102,0.102
curv_flat,A,-0.076,-0.076
flat_curv,A,-0.104,0.104
curv_flat,A,0.279,0.279
curv_flat,A,0.163,0.163
flat_curv,A,-0.319,0.319
flat_curv,A,-0.323,0.323
flat_curv,A,-0.015,0.015
curv_flat,A,0.298,0.298
flat_curv,A,-0.313,0.313
flat_curv,A,-0.305,0.305
curv_flat,A,0.248,0.248
curv_flat,A,0.4,0.4
flat_curv,A,-0.398,0.398
flat_curv,A,-0.108,0.108
flat_curv,A,-0.345,0.345
flat_curv,A,-0.399,0.399
curv_flat,A,0.092,0.092
curv_flat,A,0.118,0.118
curv_flat,A,0.053,0.053
flat_curv,A,-0.065,0.065
flat_curv,A,0.079,-0.079
curv_flat,A,0.132,0.132
flat_curv,A,-0.117,0.117
curv_flat,A,0.082,0.082
curv_flat,A,-0.1,-0.1
flat_curv,A,-0.229,0.229
curv_flat,A,-0.397,-0.397
flat_curv,A,-0.127,0.127
curv_flat,A,0.089,0.089
curv_flat,A,0.042,0.042
curv_flat,A,-0.07,-0.07
curv_flat,A,-0.115,-0.115
curv_flat,A,0.255,0.255
curv_flat,A,0.061,0.061
curv_flat,A,-0.116,-0.116
curv_flat,A,-0.342,-0.342
curv_flat,A,-0.135,-0.135
flat_curv,A,0.321,-0.321
curv_flat,A,-0.299,-0.299
flat_curv,A,-0.053,0.053
flat_curv,A,-0.146,0.146
curv_flat,A,-0.277,-0.277
flat_curv,A,0.244,-0.244
flat_curv,A,0.25,-0.25
flat_curv,A,0.025,-0.025
curv_flat,A,-0.266,-0.266
curv_flat,A,-0.24,-0.24
flat_curv,A,0.04,-0.04
curv_flat,A,-0.125,-0.125
curv_flat,A,-0.085,-0.085
flat_curv,A,0.021,-0.021
flat_curv,A,0.262,-0.262
flat_curv,A,0.22,-0.22
curv_flat,A,-0.398,-0.398
flat_curv,A,0.398,-0.398
flat_curv,A,0.36,-0.36
curv_flat,A,-0.141,-0.141
flat_curv,A,0.044,-0.044
curv_flat,A,0.115,0.115
flat_curv,A,-0.035,0.035
curv_flat,A,-0.311,-0.311
curv_flat,A,-0.161,-0.161
curv_flat,A,-0.002,-0.002
curv_flat,A,-0.195,-0.195
curv_flat,A,-0.02,-0.02
flat_curv,A,0.178,-0.178
flat_curv,A,0.293,-0.293
flat_curv,A,0.32,-0.32
curv_flat,A,-0.092,-0.092
flat_curv,A,0.108,-0.108
flat_curv,A,0.258,-0.258
flat_curv,A,0.076,-0.076
curv_flat,A,-0.229,-0.229
curv_flat,A,-0.108,-0.108
flat_curv,A,-0.098,0.098
flat_curv,A,-0.106,0.106
curv_flat,A,-0.205,-0.205
curv_flat,A,0.062,0.062
flat_curv,A,-0.145,0.145
curv_flat,A,0.125,0.125
curv_flat,A,-0.165,-0.165
flat_curv,A,0.061,-0.061
flat_curv,A,0.209,-0.209
curv_flat,A,-0.218,-0.218
curv_flat,A,-0.104,-0.104
flat_curv,A,-0.019,0.019
curv_flat,A,0.123,0.123
flat_curv,A,-0.116,0.116
flat_curv,A,-0.135,0.135
flat_curv,A,0.108,-0.108
curv_flat,A,-0.077,-0.077
flat_curv,A,0.102,-0.102
curv_flat,A,-0.103,-0.103
flat_curv,A,0.064,-0.064
curv_flat,A,-0.184,-0.184
flat_curv,A,0.083,-0.083
curv_flat,A,0.087,0.087
curv_flat,A,0.051,0.051
curv_flat,A,0.033,0.033
flat_curv,A,-0.104,0.104
curv_flat,A,-0.083,-0.083
curv_flat,A,0.021,0.021
flat_curv,A,-0.253,0.253
curv_flat,A,-0.118,-0.118
flat_curv,A,0.051,-0.051
flat_curv,A,0.227,-0.227
curv_flat,A,-0.071,-0.071
curv_flat,A,0.056,0.056
curv_flat,A,-0.084,-0.084
curv_flat,A,0.069,0.069
flat_curv,A,-0.143,0.143
flat_curv,A,0.054,-0.054
flat_curv,A,-0.077,0.077
flat_curv,A,-0.099,0.099
flat_curv,A,-0.286,0.286
curv_flat,A,0.072,0.072
flat_curv,A,-0.073,0.073
flat_curv,A,0.002,-0.002
flat_curv,A,-0.265,0.265
curv_flat,A,0.228,0.228
flat_curv,A,-0.242,0.242
flat_curv,A,-0.083,0.083
curv_flat,A,-0.08,-0.08
flat_curv,A,-0.11,0.11
flat_curv,A,-0.079,0.079
flat_curv,A,-0.237,0.237
curv_flat,A,0.265,0.265
curv_flat,A,0.134,0.134
flat_curv,A,-0.114,0.114
flat_curv,A,-0.304,0.304
curv_flat,A,-0.12,-0.12
curv_flat,A,0.188,0.188
flat_curv,A,-0.121,0.121
curv_flat,A,0.137,0.137
flat_curv,A,-0.112,0.112
curv_flat,A,0.143,0.143
curv_flat,A,0.096,0.096
curv_flat,A,0.129,0.129
curv_flat,A,0.319,0.319
flat_curv,A,-0.367,0.367
flat_curv,A,-0.264,0.264
curv_flat,A,0.209,0.209
curv_flat,A,0.252,0.252
flat_curv,A,0.194,-0.194
curv_flat,A,0.282,0.282
flat_curv,A,-0.267,0.267
curv_flat,A,-0.008,-0.008
curv_flat,A,0.275,0.275
curv_flat,A,0.128,0.128
flat_curv,A,-0.261,0.261
curv_flat,A,0.052,0.052
curv_flat,A,0.026,0.026
flat_curv,A,-0.1,0.1
flat_curv,A,-0.259,0.259
flat_curv,C,-0.17,0.17
curv_flat,C,-0.152,-0.152
curv_flat,C,0.142,0.142
flat_curv,C,0.02,-0.02
flat_curv,C,-0.139,0.139
curv_flat,C,-0.214,-0.214
flat_curv,C,-0.128,0.128
curv_flat,C,-0.069,-0.069
curv_flat,C,0.068,0.068
flat_curv,C,0.081,-0.081
curv_flat,C,0.165,0.165
flat_curv,C,0.129,-0.129
flat_curv,C,-0.288,0.288
flat_curv,C,0.275,-0.275
flat_curv,C,0.039,-0.039
flat_curv,C,0.203,-0.203
flat_curv,C,-0.077,0.077
curv_flat,C,-0.125,-0.125
flat_curv,C,-0.225,0.225
curv_flat,C,0.054,0.054
curv_flat,C,0.111,0.111
curv_flat,C,0.189,0.189
curv_flat,C,0.135,0.135
flat_curv,C,0.11,-0.11
flat_curv,C,-0.118,0.118
curv_flat,C,-0.217,-0.217
curv_flat,C,-0.271,-0.271
curv_flat,C,0.218,0.218
curv_flat,C,-0.313,-0.313
curv_flat,C,0.11,0.11
curv_flat,C,-0.054,-0.054
flat_curv,C,-0.061,0.061
curv_flat,C,0.056,0.056
flat_curv,C,0.024,-0.024
flat_curv,C,-0.146,0.146
curv_flat,C,0.094,0.094
flat_curv,C,0.072,-0.072
curv_flat,C,0.118,0.118
flat_curv,C,-0.06,0.06
flat_curv,C,-0.376,0.376
flat_curv,C,-0.273,0.273
curv_flat,C,-0.186,-0.186
curv_flat,C,0.273,0.273
flat_curv,C,-0.259,0.259
curv_flat,C,0.225,0.225
curv_flat,C,0.207,0.207
flat_curv,C,-0.243,0.243
flat_curv,C,-0.269,0.269
flat_curv,C,-0.077,0.077
flat_curv,C,-0.255,0.255
curv_flat,C,0.352,0.352
flat_curv,C,-0.291,0.291
curv_flat,C,0.23,0.23
flat_curv,C,-0.056,0.056
flat_curv,C,-0.245,0.245
curv_flat,C,0.291,0.291
curv_flat,C,0.238,0.238
curv_flat,C,0.074,0.074
flat_curv,C,-0.263,0.263
flat_curv,C,-0.233,0.233
flat_curv,C,0.285,-0.285
flat_curv,C,-0.144,0.144
curv_flat,C,0.208,0.208
curv_flat,C,0.244,0.244
flat_curv,C,-0.265,0.265
curv_flat,C,0.108,0.108
flat_curv,C,-0.257,0.257
flat_curv,C,-0.246,0.246
flat_curv,C,-0.223,0.223
curv_flat,C,0.243,0.243
curv_flat,C,0.253,0.253
curv_flat,C,0.134,0.134
curv_flat,C,0.179,0.179
flat_curv,C,-0.243,0.243
curv_flat,C,0.244,0.244
curv_flat,C,0.24,0.24
curv_flat,C,0.125,0.125
flat_curv,C,-0.253,0.253
curv_flat,C,0.148,0.148
flat_curv,C,-0.222,0.222
curv_flat,C,-0.064,-0.064
curv_flat,C,-0.368,-0.368
curv_flat,C,-0.131,-0.131
curv_flat,C,-0.159,-0.159
curv_flat,C,-0.243,-0.243
flat_curv,C,0.304,-0.304
flat_curv,C,0.228,-0.228
curv_flat,C,-0.25,-0.25
curv_flat,C,0.091,0.091
flat_curv,C,-0.136,0.136
flat_curv,C,-0.111,0.111
flat_curv,C,-0.068,0.068
curv_flat,C,-0.304,-0.304
curv_flat,C,-0.145,-0.145
flat_curv,C,0.225,-0.225
flat_curv,C,0.029,-0.029
flat_curv,C,-0.102,0.102
curv_flat,C,-0.129,-0.129
curv_flat,C,-0.165,-0.165
flat_curv,C,0.263,-0.263
flat_curv,C,0.256,-0.256
curv_flat,C,-0.303,-0.303
curv_flat,C,-0.255,-0.255
curv_flat,C,-0.27,-0.27
flat_curv,C,0.251,-0.251
flat_curv,C,-0.047,0.047
curv_flat,C,-0.238,-0.238
curv_flat,C,-0.03,-0.03
flat_curv,C,0.068,-0.068
curv_flat,C,-0.356,-0.356
flat_curv,C,0.242,-0.242
flat_curv,C,0.036,-0.036
curv_flat,C,-0.17,-0.17
curv_flat,C,-0.041,-0.041
curv_flat,C,-0.257,-0.257
flat_curv,C,0.222,-0.222
flat_curv,C,0.228,-0.228
flat_curv,C,0.258,-0.258
flat_curv,C,0.246,-0.246
flat_curv,C,0.056,-0.056
curv_flat,C,-0.069,-0.069
flat_curv,C,-0.105,0.105
flat_curv,C,-0.134,0.134
curv_flat,C,0.105,0.105
flat_curv,C,-0.179,0.179
curv_flat,C,-0.115,-0.115
flat_curv,C,-0.247,0.247
flat_curv,C,0.063,-0.063
flat_curv,C,-0.367,0.367
flat_curv,C,0.227,-0.227
curv_flat,C,-0.4,-0.4
curv_flat,C,0.333,0.333
flat_curv,C,0.399,-0.399
curv_flat,C,-0.399,-0.399
curv_flat,C,-0.185,-0.185
flat_curv,C,0.353,-0.353
flat_curv,C,0.281,-0.281
curv_flat,C,0.119,0.119
flat_curv,C,0.335,-0.335
flat_curv,C,-0.378,0.378
curv_flat,C,0.277,0.277
flat_curv,C,-0.314,0.314
flat_curv,C,-0.247,0.247
flat_curv,C,0.024,-0.024
flat_curv,C,0.084,-0.084
curv_flat,C,0.052,0.052
curv_flat,C,0.37,0.37
curv_flat,C,0.1,0.1
flat_curv,C,0.288,-0.288
curv_flat,C,-0.104,-0.104
curv_flat,C,-0.398,-0.398
curv_flat,C,0.273,0.273
flat_curv,C,-0.372,0.372
curv_flat,C,0.351,0.351
curv_flat,C,-0.398,-0.398
flat_curv,C,-0.081,0.081
curv_flat,C,0.071,0.071
flat_curv,C,0.034,-0.034
curv_flat,C,0.073,0.073
curv_flat,C,0.083,0.083
flat_curv,C,0.249,-0.249
flat_curv,C,0.22,-0.22
curv_flat,C,-0.089,-0.089
curv_flat,C,-0.32,-0.32
flat_curv,C,0.056,-0.056
flat_curv,C,0.064,-0.064
flat_curv,C,0.284,-0.284
curv_flat,C,-0.398,-0.398
curv_flat,C,0.228,0.228
flat_curv,C,0.37,-0.37
curv_flat,C,0.041,0.041
curv_flat,C,-0.397,-0.397
curv_flat,C,-0.279,-0.279
curv_flat,C,0.107,0.107
flat_curv,C,0.257,-0.257
curv_flat,C,0.033,0.033
curv_flat,C,-0.061,-0.061
curv_flat,C,-0.295,-0.295
flat_curv,C,0.012,-0.012
curv_flat,C,-0.268,-0.268
flat_curv,C,0.274,-0.274
flat_curv,C,-0.016,0.016
flat_curv,C,0.313,-0.313
curv_flat,C,-0.289,-0.289
curv_flat,C,-0.398,-0.398
curv_flat,C,-0.318,-0.318
flat_curv,C,0.118,-0.118
flat_curv,C,0.272,-0.272
flat_curv,C,0.082,-0.082
curv_flat,C,0.112,0.112
curv_flat,C,-0.041,-0.041
flat_curv,C,0.054,-0.054
curv_flat,C,-0.068,-0.068
curv_flat,C,0.114,0.114
flat_curv,C,0.246,-0.246
flat_curv,C,0.075,-0.075
curv_flat,C,-0.277,-0.277
flat_curv,C,0.264,-0.264
flat_curv,C,0.077,-0.077
flat_curv,C,0.041,-0.041
flat_curv,C,-0.266,0.266
flat_curv,C,-0.247,0.247
curv_flat,C,0.264,0.264
flat_curv,C,-0.085,0.085
curv_flat,C,0.279,0.279
flat_curv,C,-0.119,0.119
curv_flat,C,0.295,0.295
curv_flat,C,0.276,0.276
curv_flat,C,0.249,0.249
flat_curv,C,-0.232,0.232
curv_flat,C,0.269,0.269
flat_curv,C,-0.239,0.239
curv_flat,C,-0.112,-0.112
flat_curv,C,-0.082,0.082
flat_curv,C,-0.19,0.19
curv_flat,C,0.222,0.222
curv_flat,C,0.25,0.25
flat_curv,C,-0.4,0.4
flat_curv,C,-0.284,0.284
flat_curv,C,-0.059,0.059
curv_flat,C,0.092,0.092
flat_curv,C,-0.034,0.034
curv_flat,C,0.26,0.26
flat_curv,C,-0.257,0.257
curv_flat,C,0.264,0.264
curv_flat,C,0.24,0.24
flat_curv,C,-0.128,0.128
flat_curv,C,-0.289,0.289
curv_flat,C,0.216,0.216
curv_flat,C,0.233,0.233
curv_flat,C,0.145,0.145
flat_curv,C,-0.122,0.122
flat_curv,C,-0.277,0.277
curv_flat,C,0.28,0.28
flat_curv,C,-0.303,0.303
flat_curv,C,-0.285,0.285
