shape_order,sess_type,final_pos_orig,final_pos
curv_flat,C,0.112,0.112
curv_flat,C,0.322,0.322
curv_flat,C,0.303,0.303
flat_curv,C,-0.078,0.078
flat_curv,B,-0.188,0.188
curv_flat,B,-0.072,-0.072
flat_curv,B,-0.244,0.244
flat_curv,B,0.024,-0.024
curv_flat,B,0.132,0.132
curv_flat,B,0.112,0.112
curv_flat,B,-0.092,-0.092
flat_curv,B,0.056,-0.056
curv_flat,B,0.088,0.088
curv_flat,B,0.084,0.084
flat_curv,B,-0.216,0.216
flat_curv,B,0.016,-0.016
curv_flat,B,-0.036,-0.036
flat_curv,B,-0.06,0.06
flat_curv,B,0.096,-0.096
flat_curv,B,0.072,-0.072
curv_flat,B,0.052,0.052
curv_flat,B,0.052,0.052
curv_flat,B,-0.196,-0.196
curv_flat,B,-0.068,-0.068
curv_flat,B,-0.12,-0.12
flat_curv,B,-0.044,0.044
flat_curv,B,-0.08,0.08
curv_flat,B,0.016,0.016
curv_flat,B,-0.072,-0.072
flat_curv,B,-0.108,0.108
curv_flat,B,-0.084,-0.084
curv_flat,B,-0.132,-0.132
flat_curv,B,0.116,-0.116
flat_curv,B,-0.064,0.064
flat_curv,B,-0.1,0.1
flat_curv,B,0.028,-0.028
curv_flat,B,0.056,0.056
curv_flat,B,0.056,0.056
curv_flat,B,-0.068,-0.068
curv_flat,B,0.1,0.1
flat_curv,B,0.056,-0.056
flat_curv,B,0.14,-0.14
flat_curv,B,0.268,-0.268
flat_curv,B,-0.26,0.26
flat_curv,B,-0.2,0.2
curv_flat,B,-0.28,-0.28
flat_curv,B,0.224,-0.224
flat_curv,B,0.276,-0.276
curv_flat,B,-0.312,-0.312
curv_flat,B,-0.324,-0.324
curv_flat,B,-0.268,-0.268
flat_curv,B,-0.028,0.028
flat_curv,B,0.216,-0.216
curv_flat,B,0.0,0.0
flat_curv,B,-0.076,0.076
curv_flat,B,-0.3,-0.3
flat_curv,B,-0.032,0.032
flat_curv,B,0.232,-0.232
curv_flat,B,-0.032,-0.032
curv_flat,B,-0.288,-0.288
flat_curv,B,0.288,-0.288
curv_flat,B,-0.264,-0.264
curv_flat,B,0.168,0.168
curv_flat,B,0.104,0.104
flat_curv,B,-0.184,0.184
curv_flat,B,-0.056,-0.056
flat_curv,B,0.272,-0.272
curv_flat,B,-0.284,-0.284
flat_curv,B,-0.136,0.136
curv_flat,B,-0.324,-0.324
curv_flat,B,-0.084,-0.084
flat_curv,B,-0.216,0.216
curv_flat,B,-0.292,-0.292
curv_flat,B,-0.116,-0.116
flat_curv,B,0.272,-0.272
curv_flat,B,-0.072,-0.072
curv_flat,B,0.04,0.04
flat_curv,B,0.26,-0.26
flat_curv,B,0.28,-0.28
flat_curv,B,-0.164,0.164
flat_curv,B,0.292,-0.292
curv_flat,B,-0.084,-0.084
flat_curv,B,0.072,-0.072
flat_curv,B,-0.008,0.008
curv_flat,B,0.22,0.22
curv_flat,B,0.256,0.256
flat_curv,B,-0.152,0.152
flat_curv,B,-0.164,0.164
flat_curv,B,0.128,-0.128
curv_flat,B,0.3,0.3
flat_curv,B,0.024,-0.024
curv_flat,B,0.14,0.14
flat_curv,B,-0.004,0.004
curv_flat,B,0.26,0.26
flat_curv,B,0.084,-0.084
curv_flat,B,0.024,0.024
curv_flat,B,-0.028,-0.028
flat_curv,B,0.04,-0.04
flat_curv,B,0.176,-0.176
curv_flat,B,0.324,0.324
curv_flat,B,0.32,0.32
flat_curv,B,-0.304,0.304
flat_curv,B,-0.264,0.264
curv_flat,B,0.324,0.324
flat_curv,B,-0.236,0.236
flat_curv,B,-0.052,0.052
curv_flat,B,-0.204,-0.204
flat_curv,B,-0.268,0.268
curv_flat,B,-0.016,-0.016
curv_flat,B,0.304,0.304
curv_flat,B,-0.036,-0.036
flat_curv,B,-0.288,0.288
curv_flat,B,0.32,0.32
curv_flat,B,0.28,0.28
flat_curv,B,0.056,-0.056
flat_curv,B,-0.324,0.324
flat_curv,B,-0.296,0.296
flat_curv,B,-0.308,0.308
curv_flat,B,0.308,0.308
curv_flat,B,0.036,0.036
flat_curv,B,-0.228,0.228
flat_curv,B,-0.264,0.264
curv_flat,B,0.12,0.12
curv_flat,B,0.252,0.252
curv_flat,B,-0.26,-0.26
flat_curv,B,0.16,-0.16
curv_flat,B,-0.336,-0.336
flat_curv,B,0.188,-0.188
curv_flat,B,-0.26,-0.26
flat_curv,B,0.24,-0.24
flat_curv,B,0.264,-0.264
flat_curv,B,0.248,-0.248
curv_flat,B,-0.252,-0.252
curv_flat,B,-0.188,-0.188
curv_flat,B,-0.22,-0.22
flat_curv,B,0.176,-0.176
curv_flat,B,-0.244,-0.244
curv_flat,B,-0.252,-0.252
flat_curv,B,0.116,-0.116
flat_curv,B,0.232,-0.232
flat_curv,B,0.048,-0.048
curv_flat,B,-0.08,-0.08
curv_flat,B,-0.272,-0.272
flat_curv,B,0.084,-0.084
flat_curv,B,0.288,-0.288
curv_flat,B,-0.256,-0.256
flat_curv,B,0.22,-0.22
flat_curv,B,0.26,-0.26
curv_flat,B,-0.256,-0.256
curv_flat,B,-0.136,-0.136
curv_flat,B,-0.248,-0.248
curv_flat,B,-0.26,-0.26
curv_flat,B,-0.304,-0.304
flat_curv,B,0.1,-0.1
flat_curv,B,0.18,-0.18
curv_flat,B,-0.276,-0.276
curv_flat,B,-0.276,-0.276
flat_curv,B,0.176,-0.176
curv_flat,B,-0.172,-0.172
flat_curv,B,0.284,-0.284
flat_curv,B,0.232,-0.232
flat_curv,B,0.236,-0.236
flat_curv,B,0.216,-0.216
curv_flat,B,-0.244,-0.244
curv_flat,B,-0.308,-0.308
flat_curv,B,-0.2,0.2
flat_curv,B,0.1,-0.1
curv_flat,B,0.004,0.004
curv_flat,B,0.284,0.284
flat_curv,B,-0.092,0.092
flat_curv,B,0.084,-0.084
flat_curv,B,-0.124,0.124
curv_flat,B,0.072,0.072
curv_flat,B,-0.096,-0.096
flat_curv,B,0.072,-0.072
curv_flat,B,-0.112,-0.112
curv_flat,B,0.072,0.072
flat_curv,B,-0.144,0.144
curv_flat,B,-0.088,-0.088
curv_flat,B,0.1,0.1
curv_flat,B,-0.048,-0.048
curv_flat,B,-0.096,-0.096
flat_curv,B,0.032,-0.032
flat_curv,B,0.032,-0.032
curv_flat,B,0.028,0.028
flat_curv,B,-0.092,0.092
flat_curv,B,-0.056,0.056
flat_curv,B,0.04,-0.04
flat_curv,B,0.164,-0.164
curv_flat,B,-0.188,-0.188
curv_flat,B,-0.184,-0.184
curv_flat,B,0.16,0.16
flat_curv,B,-0.108,0.108
curv_flat,B,0.124,0.124
flat_curv,B,-0.12,0.12
flat_curv,B,-0.056,0.056
flat_curv,B,-0.064,0.064
curv_flat,B,0.056,0.056
flat_curv,B,0.064,-0.064
curv_flat,B,0.072,0.072
curv_flat,B,0.06,0.06
flat_curv,B,-0.084,0.084
flat_curv,B,-0.088,0.088
curv_flat,B,-0.076,-0.076
curv_flat,B,0.252,0.252
curv_flat,B,0.244,0.244
flat_curv,B,-0.296,0.296
flat_curv,B,-0.248,0.248
flat_curv,B,-0.14,0.14
curv_flat,B,0.288,0.288
curv_flat,B,0.144,0.144
flat_curv,B,-0.14,0.14
flat_curv,B,-0.272,0.272
curv_flat,B,0.312,0.312
curv_flat,B,0.292,0.292
flat_curv,B,-0.292,0.292
flat_curv,B,-0.24,0.24
flat_curv,B,-0.176,0.176
curv_flat,B,0.284,0.284
curv_flat,B,0.152,0.152
curv_flat,B,0.268,0.268
flat_curv,B,-0.236,0.236
curv_flat,B,0.284,0.284
flat_curv,B,-0.24,0.24
flat_curv,B,-0.264,0.264
curv_flat,B,0.248,0.248
curv_flat,B,0.232,0.232
flat_curv,B,-0.296,0.296
flat_curv,B,-0.168,0.168
flat_curv,B,-0.276,0.276
flat_curv,B,-0.228,0.228
curv_flat,B,0.24,0.24
flat_curv,B,-0.248,0.248
flat_curv,B,-0.212,0.212
flat_curv,B,-0.244,0.244
curv_flat,B,0.228,0.228
flat_curv,B,-0.244,0.244
curv_flat,B,0.144,0.144
flat_curv,B,-0.236,0.236
curv_flat,B,0.188,0.188
curv_flat,B,0.192,0.192
curv_flat,B,0.22,0.22
curv_flat,B,0.244,0.244
curv_flat,B,0.216,0.216
flat_curv,B,0.064,-0.064
curv_flat,B,-0.116,-0.116
curv_flat,B,-0.088,-0.088
curv_flat,B,-0.084,-0.084
curv_flat,B,0.024,0.024
curv_flat,B,-0.136,-0.136
flat_curv,B,-0.056,0.056
curv_flat,B,-0.144,-0.144
curv_flat,B,-0.164,-0.164
flat_curv,B,0.104,-0.104
curv_flat,B,-0.14,-0.14
curv_flat,B,0.176,0.176
curv_flat,B,0.1,0.1
flat_curv,B,-0.18,0.18
curv_flat,B,-0.172,-0.172
flat_curv,B,-0.024,0.024
curv_flat,B,0.16,0.16
flat_curv,B,-0.036,0.036
flat_curv,B,-0.116,0.116
curv_flat,B,-0.104,-0.104
flat_curv,B,-0.096,0.096
flat_curv,B,-0.092,0.092
curv_flat,B,0.096,0.096
flat_curv,B,0.272,-0.272
curv_flat,B,-0.052,-0.052
curv_flat,B,0.136,0.136
curv_flat,B,0.18,0.18
flat_curv,B,0.176,-0.176
flat_curv,B,0.144,-0.144
curv_flat,B,0.312,0.312
flat_curv,B,-0.116,0.116
flat_curv,B,-0.176,0.176
curv_flat,B,0.084,0.084
flat_curv,B,-0.056,0.056
flat_curv,B,-0.024,0.024
curv_flat,B,-0.036,-0.036
flat_curv,B,-0.088,0.088
flat_curv,B,-0.204,0.204
flat_curv,B,0.112,-0.112
flat_curv,B,0.316,-0.316
curv_flat,B,-0.392,-0.392
flat_curv,B,0.288,-0.288
curv_flat,B,-0.396,-0.396
curv_flat,B,-0.376,-0.376
flat_curv,B,-0.132,0.132
curv_flat,B,0.268,0.268
flat_curv,B,0.292,-0.292
flat_curv,B,0.284,-0.284
flat_curv,B,0.336,-0.336
flat_curv,B,0.264,-0.264
flat_curv,B,0.056,-0.056
curv_flat,B,-0.264,-0.264
flat_curv,B,0.184,-0.184
curv_flat,B,-0.22,-0.22
curv_flat,B,-0.104,-0.104
flat_curv,B,0.228,-0.228
curv_flat,B,0.128,0.128
flat_curv,B,0.264,-0.264
flat_curv,B,0.28,-0.28
flat_curv,B,-0.196,0.196
curv_flat,B,0.064,0.064
flat_curv,B,-0.036,0.036
curv_flat,B,0.196,0.196
flat_curv,B,0.236,-0.236
curv_flat,B,-0.32,-0.32
curv_flat,B,-0.208,-0.208
flat_curv,B,-0.056,0.056
curv_flat,B,-0.236,-0.236
flat_curv,B,-0.124,0.124
curv_flat,B,-0.26,-0.26
flat_curv,B,0.26,-0.26
flat_curv,B,0.22,-0.22
curv_flat,B,0.068,0.068
curv_flat,B,0.024,0.024
curv_flat,B,-0.396,-0.396
flat_curv,B,0.116,-0.116
curv_flat,B,-0.38,-0.38
curv_flat,B,-0.148,-0.148
curv_flat,B,-0.044,-0.044
flat_curv,B,0.028,-0.028
curv_flat,B,0.232,0.232
curv_flat,B,0.308,0.308
curv_flat,B,0.228,0.228
flat_curv,B,-0.272,0.272
flat_curv,B,-0.244,0.244
flat_curv,B,-0.256,0.256
curv_flat,B,0.268,0.268
flat_curv,B,-0.34,0.34
flat_curv,B,0.04,-0.04
curv_flat,B,0.22,0.22
curv_flat,B,0.224,0.224
curv_flat,B,-0.004,-0.004
curv_flat,B,0.028,0.028
flat_curv,B,-0.216,0.216
curv_flat,B,0.008,0.008
curv_flat,B,0.236,0.236
curv_flat,B,-0.104,-0.104
curv_flat,B,0.296,0.296
flat_curv,B,-0.312,0.312
curv_flat,B,-0.14,-0.14
flat_curv,B,-0.216,0.216
flat_curv,B,-0.244,0.244
flat_curv,B,-0.396,0.396
curv_flat,B,0.216,0.216
curv_flat,B,-0.236,-0.236
curv_flat,B,0.208,0.208
curv_flat,B,0.272,0.272
flat_curv,B,0.088,-0.088
curv_flat,B,0.108,0.108
flat_curv,B,-0.252,0.252
curv_flat,B,0.112,0.112
flat_curv,B,-0.22,0.22
flat_curv,B,-0.308,0.308
flat_curv,B,0.072,-0.072
flat_curv,B,0.04,-0.04
curv_flat,B,0.104,0.104
flat_curv,B,-0.248,0.248
flat_curv,B,-0.232,0.232
flat_curv,B,-0.252,0.252
flat_curv,B,-0.224,0.224
curv_flat,B,0.0,0.0
curv_flat,B,-0.4,-0.4
flat_curv,B,0.156,-0.156
flat_curv,B,0.184,-0.184
flat_curv,B,0.152,-0.152
flat_curv,B,0.128,-0.128
flat_curv,B,0.032,-0.032
flat_curv,B,-0.012,0.012
curv_flat,B,-0.084,-0.084
curv_flat,B,-0.088,-0.088
curv_flat,B,-0.332,-0.332
flat_curv,B,0.284,-0.284
flat_curv,B,0.208,-0.208
curv_flat,B,-0.004,-0.004
curv_flat,B,-0.264,-0.264
flat_curv,B,-0.02,0.02
curv_flat,B,-0.144,-0.144
flat_curv,B,0.304,-0.304
flat_curv,B,0.236,-0.236
curv_flat,B,-0.104,-0.104
flat_curv,B,0.084,-0.084
curv_flat,B,-0.396,-0.396
flat_curv,B,0.244,-0.244
flat_curv,B,0.22,-0.22
curv_flat,B,-0.152,-0.152
curv_flat,B,-0.172,-0.172
curv_flat,B,-0.012,-0.012
flat_curv,B,0.148,-0.148
flat_curv,B,0.26,-0.26
flat_curv,B,0.128,-0.128
flat_curv,B,0.268,-0.268
curv_flat,B,-0.228,-0.228
flat_curv,B,0.284,-0.284
curv_flat,B,-0.224,-0.224
curv_flat,B,-0.04,-0.04
flat_curv,B,0.292,-0.292
curv_flat,B,-0.068,-0.068
curv_flat,B,-0.036,-0.036
curv_flat,B,-0.108,-0.108
curv_flat,B,-0.236,-0.236
flat_curv,B,0.072,-0.072
curv_flat,B,0.06,0.06
flat_curv,B,0.032,-0.032
curv_flat,B,0.068,0.068
flat_curv,B,-0.028,0.028
curv_flat,B,0.084,0.084
curv_flat,B,0.128,0.128
flat_curv,B,-0.1,0.1
curv_flat,B,0.188,0.188
flat_curv,B,-0.176,0.176
flat_curv,B,-0.124,0.124
curv_flat,B,0.02,0.02
flat_curv,B,-0.016,0.016
curv_flat,B,0.228,0.228
flat_curv,B,-0.12,0.12
curv_flat,B,0.136,0.136
curv_flat,B,-0.04,-0.04
curv_flat,B,0.032,0.032
flat_curv,B,0.104,-0.104
curv_flat,B,0.048,0.048
flat_curv,B,-0.068,0.068
curv_flat,B,0.088,0.088
flat_curv,B,-0.02,0.02
flat_curv,B,-0.044,0.044
curv_flat,B,0.056,0.056
curv_flat,B,-0.164,-0.164
flat_curv,B,0.064,-0.064
flat_curv,B,-0.084,0.084
flat_curv,B,-0.092,0.092
flat_curv,B,0.344,-0.344
flat_curv,B,-0.216,0.216
curv_flat,B,-0.264,-0.264
flat_curv,B,-0.1,0.1
curv_flat,B,0.232,0.232
curv_flat,B,0.308,0.308
curv_flat,B,0.124,0.124
flat_curv,B,-0.088,0.088
flat_curv,B,-0.148,0.148
curv_flat,B,0.276,0.276
curv_flat,B,-0.104,-0.104
curv_flat,B,0.348,0.348
flat_curv,B,-0.328,0.328
curv_flat,B,0.164,0.164
curv_flat,B,0.244,0.244
flat_curv,B,-0.172,0.172
flat_curv,B,-0.216,0.216
curv_flat,B,0.244,0.244
curv_flat,B,0.056,0.056
flat_curv,B,-0.12,0.12
flat_curv,B,-0.252,0.252
curv_flat,B,0.316,0.316
curv_flat,B,0.276,0.276
curv_flat,B,0.04,0.04
flat_curv,B,-0.044,0.044
flat_curv,B,-0.292,0.292
flat_curv,B,-0.252,0.252
flat_curv,B,-0.34,0.34
curv_flat,B,0.304,0.304
flat_curv,B,-0.248,0.248
curv_flat,B,0.272,0.272
curv_flat,B,0.308,0.308
flat_curv,B,-0.112,0.112
flat_curv,B,-0.232,0.232
curv_flat,B,0.24,0.24
curv_flat,B,0.048,0.048
flat_curv,B,-0.252,0.252
curv_flat,B,0.284,0.284
flat_curv,B,-0.296,0.296
curv_flat,B,0.216,0.216
curv_flat,B,0.064,0.064
flat_curv,B,-0.092,0.092
flat_curv,B,-0.096,0.096
flat_curv,B,-0.4,0.4
curv_flat,B,0.396,0.396
curv_flat,B,0.324,0.324
curv_flat,B,0.052,0.052
curv_flat,B,0.116,0.116
flat_curv,B,-0.28,0.28
flat_curv,B,-0.104,0.104
flat_curv,B,-0.112,0.112
